,AOD,AOD_available,LST_C,LST_available,NO2,NO2_available,climate_available,dewpoint,month,pressure,rainfall_mm,temperature,wind_speed,year,pm25_mean,pm25_max,pm10_mean,no2_ground,so2_mean,co_mean,ozone_mean,aqi_mean,observations,ground_pollution_imputed,month_sin,month_cos,winter_flag,monsoon_flag,temperature_anomaly,rainfall_anomaly,wind_anomaly,PM25_lag_1,PM25_lag_3,PM25_lag_6,PM25_lag_12
rainfall_mm,-0.0037918985642450683,-0.41362704951187046,0.551737153290266,-0.3541799554278243,-0.7849020544672719,-0.021178182973996533,,0.8500382074804478,0.08560391172937672,-0.842646028041999,1.0,0.7032444354182948,0.6218210151415415,-0.022334004568246815,-0.26225585560811027,-0.30228603529342557,-0.22711089682784155,-0.125314621543905,-0.4120098331919341,-0.038586793268963596,0.17496578069358523,-0.2638185298593774,0.0039978235832101305,-0.09538293856058479,-0.27779678092896326,-0.8286503296850368,-0.6526167643534292,0.6508000351172604,-0.2012728187953936,0.3033428977153744,-0.033635621541274745,-0.206575682382134,0.06728191945855586,0.22856188558618834,-0.277147968310759
temperature,-0.02506044924423632,-0.2496348386242206,0.7652497591228571,-0.28455528612290476,-0.7382385730211817,0.11943555684595827,,0.8785827909082792,0.05531678592724416,-0.8620611177446287,0.7032444354182948,1.0,0.6458984447540379,0.12254521690760793,-0.268250321449602,-0.27291970274841754,-0.24211158185602952,-0.0904349815397996,-0.45382727273535683,0.10644854025777856,0.32728068701561086,-0.2680191799990353,0.046236007086839136,-0.07145850512624669,-0.15399879168056965,-0.8592074076117966,-0.7454015933365574,0.5744040676496037,0.3214031430492809,-0.3182505320203973,0.008189123472194674,-0.16575841957026483,0.1792045098653304,0.23151745880175106,-0.2305043389370993
wind_speed,0.10154401104036671,-0.5032707225418706,0.33098284130796235,-0.4496110452769273,-0.7190157668418538,-0.021413061158551024,,0.6665000604523734,-0.13962179437170982,-0.7748678542726394,0.6218210151415415,0.6458984447540379,1.0,-0.020972232885415536,-0.15846939316775585,-0.18755584345489396,-0.13416635131663274,-0.15370827439967258,-0.23288587706969258,-0.03668985291995382,0.1437028129420649,-0.15854051361408406,0.021745040752764778,-0.007869879419190163,-0.05227439285747149,-0.7723897820185996,-0.3480458376825051,0.7197979741147289,0.033520643497734814,-0.09250833096923725,0.42888232649181046,-0.10787262732081734,0.021490598346220018,0.2621549885506614,-0.16878898654429494
year,0.3829742646307158,-0.0030410030639109633,0.12839692059453356,-0.07146783245986102,-0.025107038262303767,0.7864803002708705,,0.08594819603765091,0.0,0.045412950440342104,-0.022334004568246815,0.12254521690760793,-0.020972232885415536,1.0,0.4465377900011487,0.5963589074459665,0.3748526031842604,0.6666039115637167,0.1986905743948369,0.9964468720325281,0.2897110230782078,0.4476291053948397,0.36909879364860626,0.09450799618729044,0.0,0.0,0.0,0.0,0.2740529925329933,-0.08427800916532822,-0.05948617277928837,0.4592060344450224,0.47123528617179866,0.5053335163623961,0.5655437555272872
pm25_mean,0.3393120866466305,0.03884559548343886,-0.14447508927784064,0.10738631976987688,0.3241930410642079,0.17760707143102808,,-0.27739443527945684,-0.1343179525593678,0.31305363439803763,-0.26225585560811027,-0.268250321449602,-0.15846939316775585,0.4465377900011487,1.0,0.9452054592039013,0.9895812486973597,0.8106848603322708,0.9013440777899714,0.4560194079814929,-0.1825185925657395,0.9992026606951827,-0.2536596540607122,-0.03903460577495883,0.15430861170082522,0.2502396706531301,0.3660029022969887,-0.1876683734037802,0.02988184819518547,-0.026147234535772775,-0.037315317734051404,0.9247084691091448,0.7430742109438105,0.6952445399946366,0.8620425629221004
pm25_max,0.3949567234142237,0.05242565620310583,-0.18591879443010995,0.11519605915681021,0.4173286336825188,0.3309477622660883,,-0.2902643089876927,-0.12413891376142876,0.34880156471414997,-0.30228603529342557,-0.27291970274841754,-0.18755584345489396,0.5963589074459665,0.9452054592039013,1.0,0.907594784112777,0.8465940603336168,0.8285387470725242,0.6106875153499337,-0.11050746370678072,0.942908954393999,-0.10810424097090394,-0.01511215696466663,0.1430737637573812,0.2910224308006431,0.40196981484537353,-0.19781005458556022,0.11412321755657757,-0.03690095405152995,-0.056934859428720584,0.8853332065549214,0.684708238918175,0.6631056258599066,0.8842927104820274
pm10_mean,0.3062681237531108,0.025272427830816156,-0.11462494145757911,0.09611575948014973,0.3262475165160296,0.11254580788278724,,-0.25012448547567506,-0.1367714367843288,0.2784582786224497,-0.22711089682784155,-0.24211158185602952,-0.13416635131663274,0.3748526031842604,0.9895812486973597,0.907594784112777,1.0,0.7594643049407972,0.9044160862612076,0.3825286679632979,-0.22921312132853006,0.9891813937040619,-0.30724721025910956,-0.08310593487571881,0.14738447423083,0.21707506590310832,0.33814279589108787,-0.1627566424209775,0.004582329868285944,-0.021398364289001597,-0.038488805098466944,0.9206883782292398,0.7597450144334658,0.715549501825459,0.8402285403425135
no2_ground,0.31057542362410584,0.022334951249278406,0.045933183410332756,0.07167865679588152,0.47034746913682707,0.4426279825150175,,-0.10337376629485541,-0.018035170804913,0.18359782730987695,-0.125314621543905,-0.0904349815397996,-0.15370827439967258,0.6666039115637167,0.8106848603322708,0.8465940603336168,0.7594643049407972,1.0,0.5741903874780588,0.6976187489319585,0.03810100487273884,0.8064215842673655,-0.01783981684470329,0.006295904157251425,0.05222792729977738,0.12772735913144764,0.09964713574381918,-0.1352782482460073,0.0916298050381136,-0.047237212667223416,-0.07476339363458213,0.7722912932239845,0.7039150885983466,0.6683306862515506,0.8431245728424338
so2_mean,0.24424161859969987,0.0868581437471938,-0.35297602331981426,0.14572729122278044,0.30328198472124734,0.018359646572879033,,-0.46394731713427106,-0.18308868309840376,0.4651008512623557,-0.4120098331919341,-0.45382727273535683,-0.23288587706969258,0.1986905743948369,0.9013440777899714,0.8285387470725242,0.9044160862612076,0.5741903874780588,1.0,0.2032288685822434,-0.3006480851311827,0.9012433238143874,-0.3186578094262062,-0.04784887159511083,0.207021899867254,0.4055861284624333,0.6035123639874113,-0.2751613922191387,0.010903752206092094,0.006777976091874216,-0.022381604459489165,0.7875673992052611,0.5381681659726627,0.48930970898783394,0.7261997051300287
co_mean,0.3834571818774571,0.002988122729495297,0.12029114551237757,-0.06514805176818916,0.17931270629504406,0.7855501658378753,,0.06958562758509275,0.0031390165819354153,0.0625717686795633,-0.038586793268963596,0.10644854025777856,-0.03668985291995382,0.9964468720325281,0.4560194079814929,0.6106875153499337,0.3825286679632979,0.6976187489319585,0.2032288685822434,1.0,0.2845768382414678,0.45653068501837774,0.3697041864536517,0.08877224861724509,0.002225431207731493,0.016879198649824248,0.010889274627675086,-0.01509801877745617,0.275173501786063,-0.08408866704577858,-0.060005901021477584,0.4652177065515197,0.47237651278329384,0.5094274607625864,0.5931044337275377
